model,N,effect,lambda_detect_rate,pca_detect_rate,lambda_median,eig1_median
mixture,100,0.002,0.0,0.0,1.0188788369061619,1.2553274474198388
mixture,100,0.006,0.2,1.0,1.0366274091723808,1.6002081796567875
mixture,100,0.01,0.0,1.0,1.0296943372111567,1.998752805540596
mixture,300,0.002,0.0,1.0,0.9996907824834507,1.6973159214753708
mixture,300,0.006,0.2,1.0,1.009761682073945,2.816350410087035
mixture,300,0.01,0.2,1.0,1.0267543472818017,4.01791465143182
mixture,1000,0.002,0.0,1.0,1.0157661320509395,3.1377140314608924
mixture,1000,0.006,0.6,1.0,1.0295576628262482,7.066688952859854
mixture,1000,0.01,1.0,1.0,1.1091868032417902,11.04355268378193
