N,replicate,lambda_emp,lambda_thr_perm97,detect_vs_one,detect_vs_perm
100,52,1.0194004586794012,1.0659018978592407,1,0
100,53,1.0216105314778863,1.0695402351518626,1,0
100,54,1.0255173829263864,1.0665551709173688,1,0
100,55,1.0389201680748994,1.0571547160999661,1,0
100,56,1.0220371041703316,1.0617031678655817,1,0
100,57,1.025122897757108,1.0451708313705723,1,0
100,58,1.0049196666213922,1.0542140779395908,1,0
100,59,1.0110246286713265,1.0563461908794771,1,0
100,60,1.0171962752183776,1.0584011690712396,1,0
100,61,0.999140828900439,1.051438569975833,0,0
100,62,0.9956030923068121,1.0555173624374992,0,0
100,63,1.0076970297116847,1.0521535536379327,1,0
100,64,1.0131988600010746,1.0520187006940755,1,0
100,65,1.0180407337623856,1.0663963610461635,1,0
100,66,1.0176080691099119,1.062946075378339,1,0
100,67,1.0055587741125034,1.0572167890902624,1,0
100,68,1.0160743072205838,1.0665948022375102,1,0
100,69,1.0295927233260365,1.0619056280166905,1,0
100,70,1.0320613670351237,1.0563762482023484,1,0
100,71,1.0306764775084798,1.0593298253683734,1,0
100,72,1.0440303774862734,1.0534109540516077,1,0
100,73,1.0407894600247112,1.0764909317443014,1,0
100,74,1.0181331149602124,1.0558376207169522,1,0
100,75,1.0609953903118268,1.0483047028780372,1,1
100,76,1.0389989061336402,1.04919177796234,1,0
100,77,1.0035032437265037,1.048467197221267,1,0
100,78,1.0111894439296838,1.0543301588868816,1,0
100,79,1.0352691738458764,1.049231953605202,1,0
100,80,1.0228577231680618,1.0540171202142157,1,0
100,81,1.027404833497246,1.0544061805043328,1,0
100,82,1.0339269274725404,1.0579132319814673,1,0
100,83,1.0165633051295926,1.0486965435974305,1,0
100,84,1.0260385954095947,1.0513237738558112,1,0
100,85,1.0137231548385908,1.049092241590037,1,0
100,86,1.049672126890979,1.0509164959569428,1,0
100,87,1.0261365594478116,1.0724618995050534,1,0
100,88,1.019308890474967,1.058786792216504,1,0
100,89,1.067065831718021,1.0505911280428701,1,1
100,90,1.02463494916633,1.0594639224884808,1,0
100,91,1.0246611112509902,1.0486541407182408,1,0
100,92,1.029607899152236,1.0650541490621288,1,0
100,93,1.0281203667188747,1.0659384244941812,1,0
100,94,1.0397284662718862,1.051157555107841,1,0
100,95,1.0366772628550205,1.0583121910615056,1,0
100,96,1.0488925954184007,1.0596377604833516,1,0
100,97,1.0176738421256113,1.0704934970153812,1,0
100,98,1.0337181116138638,1.0514055526931654,1,0
100,99,1.0084586893919858,1.055593580082019,1,0
300,0,1.002959566664272,1.033172767511878,1,0
300,1,1.0006205175271423,1.0379686032819255,1,0
300,2,1.0017961445710475,1.0452067326035972,1,0
300,3,0.9914669981863977,1.0373107511772957,0,0
300,4,0.981504889240837,1.029394853123285,0,0
300,5,1.0135636539947552,1.0350641074332751,1,0
300,6,1.0233003400010225,1.0389414203502472,1,0
300,7,0.9823461832630468,1.0416086220179557,0,0
300,8,0.9804578632549775,1.039411328203616,0,0
300,9,1.0040683598748912,1.048499195356852,1,0
300,10,1.0280302597562885,1.0369469081934708,1,0
300,11,0.9858847926289933,1.0424948665839324,0,0
300,12,0.9834882133420502,1.029962504797549,0,0
300,13,1.003642931236804,1.0327802804615671,1,0
300,14,1.0134298292666346,1.0421724131807948,1,0
300,15,1.0153197172824218,1.037325610251707,1,0
300,16,1.0310590406590092,1.0299962093898034,1,1
300,17,0.9956000033675743,1.040540241610936,0,0
300,18,1.0008615763535946,1.0310992949374205,1,0
300,19,1.001594528106569,1.035630468046404,1,0
300,20,1.0198290143711004,1.0372382953659312,1,0
300,21,0.9867076083840673,1.034884293000645,0,0
300,22,1.010097704669929,1.0426921470039185,1,0
300,23,0.9922818079056818,1.0364886664168458,0,0
300,24,1.0082693606804112,1.0353492509761866,1,0
300,25,0.9998961892688613,1.038242916048926,0,0
300,26,1.000789087619421,1.0512288683733313,1,0
300,27,0.9883541181539355,1.0444803159562628,0,0
300,28,1.0087215183141962,1.0319932010281103,1,0
300,29,1.002614069291938,1.0391281182699772,1,0
300,30,1.0133637068332566,1.038513247149813,1,0
300,31,1.0318107772603626,1.032199813695645,1,0
300,32,1.0167424244451577,1.040574515423045,1,0
300,33,1.0140056144987606,1.0303208232290797,1,0
300,34,1.0153399826614833,1.040087996516463,1,0
300,35,0.9736178355828811,1.0330036141583296,0,0
300,36,1.0260722530441704,1.0325359164710486,1,0
300,37,1.0111728765753107,1.0371250588040815,1,0
300,38,1.0069050943571722,1.037088286199427,1,0
300,39,1.0144216802985255,1.0387629699767724,1,0
300,40,1.012952767580508,1.038474179859362,1,0
300,41,0.9951967565863118,1.0433407146780418,0,0
300,42,1.0114069568528938,1.0335282834334056,1,0
300,43,0.99977547332429,1.0326897811489824,0,0
300,44,1.0097579168267878,1.040466007976318,1,0
300,45,0.9957305076514837,1.0428300046817327,0,0
300,46,1.0180593292011897,1.0389200382314543,1,0
300,47,0.9962316237794047,1.03596071065839,0,0
300,48,1.018330960537254,1.0363504884939099,1,0
300,49,1.0121348527103697,1.042573946877407,1,0
300,50,0.9947144984584734,1.0407623700381476,0,0
300,51,1.0229638852851868,1.0446048033583875,1,0
300,52,1.0052318007910959,1.0347518337951218,1,0
300,53,1.0203219544601816,1.0389711059114914,1,0
300,54,0.9983493223230469,1.0454254258574684,0,0
300,55,1.005962433330191,1.0273539200048396,1,0
300,56,0.9977764370669364,1.0346768398991608,0,0
300,57,1.0025257163719945,1.0342245407085746,1,0
300,58,0.987379149415087,1.0367916139842417,0,0
300,59,1.0160922186042938,1.0355458222696388,1,0
300,60,1.016912423157099,1.0438912699420573,1,0
300,61,1.001495637411342,1.0338379633146824,1,0
300,62,1.0058788237666865,1.0336246732658747,1,0
300,63,0.9869260938980473,1.0434250404236967,0,0
300,64,1.0024898626899772,1.0403448879108073,1,0
300,65,1.0047235553316023,1.0345192653741624,1,0
300,66,1.0142825886117264,1.0304570255260226,1,0
300,67,1.0072067793622081,1.0291288319086598,1,0
300,68,1.0048216717631655,1.039314131141248,1,0
300,69,1.013577016330232,1.0378783447066526,1,0
300,70,0.9995918390837484,1.0405243242794344,0,0
300,71,1.0006774952168884,1.0410163185146768,1,0
300,72,1.0053208628057713,1.035799288800885,1,0
300,73,1.0126125783784574,1.0306999607325391,1,0
300,74,1.0100090998705946,1.0408662640180317,1,0
300,75,1.0060249504135883,1.0378646719952873,1,0
300,76,1.0101558686095629,1.0405161949936896,1,0
300,77,1.017227368456111,1.0419103948230477,1,0
300,78,0.9989432201706913,1.0368498910518142,0,0
