model,N,effect,lambda_detect_rate,pca_detect_rate,lambda_median,eig1_median
mixture,100,0.002,1.0,0.0,1.0250977234371097,1.2632799369433043
mixture,100,0.006,1.0,1.0,1.0298007046819602,1.6303156231089826
mixture,100,0.01,0.8,1.0,1.028936948766981,1.9888707700521078
mixture,300,0.002,0.6,0.8,1.0049528753916532,1.6807602438656648
mixture,300,0.006,0.6,1.0,1.0171999177826598,2.828393531467185
mixture,300,0.01,1.0,1.0,1.0505491929092385,3.997552275063266
mixture,1000,0.002,0.8,1.0,1.0065272436788437,3.1536444122790215
mixture,1000,0.006,1.0,1.0,1.0439165049023722,7.1274306404244765
mixture,1000,0.01,1.0,1.0,1.096267747593708,11.014912414971922
