N,fpr_ztest,lambda_median,mu_perm_mean,z_median
100,0.02,1.034581249963009,1.0270204315453269,0.24964971132879787
300,0.02,1.0070988391282474,1.0080202239089295,0.052978495322782815
1000,0.0,0.997872917387424,1.0012739532815633,-0.16198525198387764
