model,N,effect,lambda_detect_rate,pca_detect_rate,lambda_median,eig1_median
cline,100,0.005,0.0,0.0,1.0270402698231407,1.2150869360092438
cline,100,0.01,0.0,0.0,1.0209397769090032,1.2080954034868572
cline,100,0.015,0.0,0.0,1.0196302239579373,1.220652189361073
cline,300,0.005,0.2,0.0,1.0223188901827096,1.3990488066310534
cline,300,0.01,0.2,0.0,1.0187769144779915,1.3916244991576145
cline,300,0.015,0.0,0.0,1.0300669162967342,1.3942968794076727
cline,1000,0.005,0.0,0.0,1.0007216141131063,1.778803548228916
cline,1000,0.01,0.0,0.0,0.9874250061403204,1.7809475483990878
cline,1000,0.015,0.2,0.0,1.0099541113553658,1.7784693441089898
