model,N,effect,replicate,lambda_emp,lambda_sd_emp,lambda_mu_perm,lambda_s_perm,lambda_z,lambda_p_one_sided,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
cline,300,0.005,1,1.0223188901827096,0.016483815000093226,1.0102875543479066,0.012882599316059838,0.7189915762003264,0.23607305499318265,0,1.402472436718409,1.6543874073835434,,0
cline,300,0.005,2,1.0189399618563189,0.016584256712198427,1.0104499398185123,0.014013015278521841,0.5030327767022754,0.3074706139820359,0,1.3947103970139885,1.6543874073835434,,0
cline,300,0.005,3,1.035827860748514,0.01457053572418028,1.0103429445344572,0.01178645218666694,1.7211425519415324,0.04261247968841786,1,1.389529181576007,1.6543874073835434,,0
cline,300,0.005,4,1.032792051711725,0.016555663131462072,1.0071965424380986,0.016342951268991587,1.509686285050307,0.06556174624871414,0,1.4020443263138467,1.6543874073835434,,0
cline,300,0.01,0,0.9753085006785208,0.01462212330799432,1.0040012578664446,0.011010114159640816,-1.935047564843748,0.9735077704457097,0,1.3961299048634217,1.6543874073835434,,0
cline,300,0.01,1,1.0187769144779915,0.015863214644559,1.0112621844700542,0.014230386428138462,0.46446834577360313,0.3211561166330289,0,1.398610128391393,1.6543874073835434,,0
cline,300,0.01,2,1.0592001519281966,0.01648407081131373,1.0106191048917412,0.016303592554153142,2.8776174109179147,0.00200345385046774,1,1.3872891888951713,1.6543874073835434,,0
cline,300,0.01,3,1.0362685798167413,0.019386845738330036,1.010191264984046,0.013780418909112926,1.3284283257038265,0.09201832351914141,0,1.3916244991576145,1.6543874073835434,,0
cline,300,0.01,4,0.9750925485661891,0.017895610985889154,1.008792618198727,0.01423502559556821,-1.854047434623675,0.9681338129944174,0,1.390158189403883,1.6543874073835434,,0
cline,300,0.015,0,1.0158816375003275,0.01606390891209587,1.007353330128057,0.016690312914575404,0.5171259817303099,0.302534108808886,0,1.3958024525001358,1.6543874073835434,,0
cline,300,0.015,1,1.036160005980883,0.01903381474581859,1.0075621077771586,0.014008909687770436,1.4825355248488057,0.06909892917453642,0,1.3997718006219515,1.6543874073835434,,0
cline,300,0.015,2,1.0111215809256349,0.01649886088151949,1.0065392755080693,0.014684393049307727,0.2723926804881805,0.3926600500634788,0,1.3894483853723618,1.6543874073835434,,0
cline,300,0.015,3,1.0324982246485572,0.017979437434336606,1.0054492601058211,0.016028845973662772,1.475408481520294,0.07005137824251828,0,1.3927091155838838,1.6543874073835434,,0
cline,300,0.015,4,1.0300669162967342,0.01695351497785053,1.0102137630935606,0.014890154804368545,1.149084234816528,0.12526062421505002,0,1.3942968794076727,1.6543874073835434,,0
cline,1000,0.005,0,0.9874078411492854,0.017723355241040392,1.0037354944828247,0.014980263471631002,-0.9052250240209054,0.8173269063277044,0,1.7946334058095985,1.9934488264949979,,0
cline,1000,0.005,1,1.0007216141131063,0.016265318562109516,1.001440227298208,0.015491618855196935,-0.043211607143079284,0.5172335737150214,0,1.7746344530618143,1.9934488264949979,,0
