model,N,effect,replicate,lambda_emp,lambda_sd_emp,lambda_mu_perm,lambda_s_perm,lambda_z,lambda_p_one_sided,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
cline,100,0.005,44,1.0173198608185554,0.010188540199839736,1.027249947334878,0.014631262808188494,-0.927964242179045,0.8232869408168237,0,1.1437908176410567,1.4645517162604853,,0
cline,100,0.005,45,1.0359679712153333,0.011394881619140738,1.0288323385868947,0.009706042598216263,0.6151551668190735,0.2692261262812271,0,1.1459356415458728,1.4645517162604853,,0
cline,100,0.005,46,1.0113634872414048,0.012031845942488798,1.0272396051819885,0.008879677852360964,-1.3018996617292746,0.903524655932331,0,1.1442418168221224,1.4645517162604853,,0
cline,100,0.005,47,1.0262358678480852,0.009731441572641105,1.030223570972699,0.01300167012044354,-0.3926283193554972,0.6527029899666649,0,1.14905753911912,1.4645517162604853,,0
cline,100,0.005,48,1.0254122126988945,0.00971448521448744,1.0247336301575993,0.008858870493872998,0.06844417947214078,0.4727160270649027,0,1.1546664825091948,1.4645517162604853,,0
cline,100,0.005,49,1.0414058555264134,0.011360054418555005,1.0282713855923196,0.010524011023422555,1.1321616774597907,0.12878323417669058,0,1.1449035309701885,1.4645517162604853,,0
cline,100,0.01,0,1.0316825664488236,0.010275537942985101,1.0255349953638095,0.010266180391934547,0.5838794198503477,0.2796507201156644,0,1.1579686409312924,1.4645517162604853,,0
cline,100,0.01,1,1.0350056496010778,0.010263191916189253,1.0262723820379707,0.009959626114101016,0.8315783105971395,0.20282350443598762,0,1.148551598490383,1.4645517162604853,,0
cline,100,0.01,2,1.0291035261706372,0.01042774534100865,1.0248610534207312,0.012748373082471249,0.39244502652623847,0.3473647112383872,0,1.1534435635935598,1.4645517162604853,,0
cline,100,0.01,3,1.0406699766376317,0.010704988897745238,1.027242607123722,0.011124475855373291,1.221758485044796,0.1108994860872694,0,1.1448880818059686,1.4645517162604853,,0
cline,100,0.01,4,1.0146929791475052,0.011437464136700931,1.0256177397421165,0.009584025433680938,-0.9388351581632207,0.8260923076180688,0,1.1508522480162715,1.4645517162604853,,0
cline,100,0.01,5,1.0318348401275517,0.009634642996111394,1.023710791125821,0.009546809011085332,0.8232467305627831,0.2051838497626146,0,1.155261963782332,1.4645517162604853,,0
cline,100,0.01,6,1.0294753161919965,0.010954365349398238,1.0286756272831534,0.009921145187956053,0.07154937120508097,0.47148026633516116,0,1.1612220595793143,1.4645517162604853,,0
cline,100,0.01,7,1.0536414251590132,0.009072622351462853,1.0276562251493224,0.009690395907354356,2.7857831496287253,0.002669929040346797,1,1.1487969871078079,1.4645517162604853,,0
cline,100,0.01,8,1.0229663633190242,0.011327773468269381,1.02120989996528,0.009434540043897498,0.15243713768548617,0.4394210838462055,0,1.1478911296270944,1.4645517162604853,,0
cline,100,0.01,9,1.0387797659353668,0.010994245128638277,1.0283308410089194,0.008988558082593237,0.934905156558203,0.17491858970642105,0,1.1516349989572003,1.4645517162604853,,0
cline,100,0.01,10,1.0269345330303903,0.011742766884030583,1.0282934704026017,0.010517888328097424,-0.11347200262471399,0.5451718208164166,0,1.143387731638453,1.4645517162604853,,0
cline,100,0.01,11,1.0274211019436628,0.012875174827619794,1.0229231748848235,0.011315034488345595,0.3427927408144602,0.3658771937218913,0,1.1547727190890427,1.4645517162604853,,0
cline,100,0.01,12,1.0305863491253617,0.01047744746765011,1.0295919186218307,0.010466389942685545,0.09262881565519684,0.463099225288101,0,1.1493310342800347,1.4645517162604853,,0
cline,100,0.01,13,1.0289935945818023,0.009655081484237608,1.0214127494397027,0.010729113277775317,0.7619948484619649,0.22303153939407694,0,1.15468149827231,1.4645517162604853,,0
cline,100,0.01,14,1.0211031123893548,0.009305882011487547,1.0249732697015461,0.01200821644444443,-0.3995817673977833,0.655267706151546,0,1.158053557769518,1.4645517162604853,,0
cline,100,0.01,15,1.0349006701680454,0.009475233204183664,1.0256420801818324,0.008202818005274391,0.9593268085543182,0.16869706702371146,0,1.1567234317740112,1.4645517162604853,,0
cline,100,0.01,16,1.0245132344415924,0.011417256664389594,1.028555972251311,0.008455385221825805,-0.3493326615000019,0.6365802096174684,0,1.1452241152460727,1.4645517162604853,,0
cline,100,0.01,17,1.023268812705607,0.010483809174834097,1.026801428533235,0.010236183820225564,-0.32920460039225946,0.6289994770207477,0,1.150126553651969,1.4645517162604853,,0
cline,100,0.01,18,1.0301418312846276,0.011484428591814649,1.0252899133978262,0.01600319758441312,0.4033512002204644,0.3433449405272425,0,1.148418432746404,1.4645517162604853,,0
cline,100,0.01,19,1.029743926295535,0.011865566068025222,1.0261063608808776,0.00984221444824164,0.30142395013778694,0.3815456167428595,0,1.1523307823732603,1.4645517162604853,,0
cline,100,0.01,20,1.0037744359914282,0.010332475969515078,1.0252695995186003,0.011433479550278474,-2.0194491574489306,0.9782797216688102,0,1.1458599425965974,1.4645517162604853,,0
cline,100,0.01,21,1.0270357141462116,0.011587812960192278,1.025420850288548,0.01089451635197758,0.13637772000712975,0.44576134298266246,0,1.1578631040362577,1.4645517162604853,,0
cline,100,0.01,22,1.0346367058423969,0.01121302334748743,1.0230981995814248,0.012285198526017272,0.9994706247907746,0.15878338113908375,0,1.1465408745835832,1.4645517162604853,,0
cline,100,0.01,23,1.032846803992575,0.010032570667911187,1.0270656634892035,0.00827955237236228,0.5666694939793041,0.28546937527362237,0,1.1494794659944896,1.4645517162604853,,0
cline,100,0.01,24,1.034134931070734,0.010022632861800818,1.0233779021104454,0.009920385676569183,1.0479145449225382,0.14733899017614216,0,1.1518668479831926,1.4645517162604853,,0
cline,100,0.01,25,1.0125805234098049,0.010031243369158655,1.0312528819192355,0.011963661181707755,-1.7985621424153342,0.9639560148136775,0,1.1490075580147419,1.4645517162604853,,0
cline,100,0.01,26,1.0391758937651145,0.011014409793027424,1.0231497909518683,0.013742415167485204,1.4014919205582663,0.08053351095725358,0,1.1515593546225091,1.4645517162604853,,0
cline,100,0.01,27,1.0402885389621082,0.008971247842225989,1.0251492166716232,0.010091375767826854,1.6365631753427488,0.05086088764844343,0,1.1565430358770674,1.4645517162604853,,0
cline,100,0.01,28,1.037789292808275,0.011030807715208226,1.0255986022734571,0.010249075201757402,1.0820432841335101,0.13961664764802362,0,1.14603991339649,1.4645517162604853,,0
cline,100,0.01,29,1.0294065242511503,0.009816345099262365,1.028449468306292,0.006606194443986955,0.09641065856723302,0.4615972136232489,0,1.1520492589508275,1.4645517162604853,,0
cline,100,0.01,30,1.0189993813022489,0.01158868007019261,1.0267231561913515,0.009419569641741603,-0.6557499682958384,0.7440074937369912,0,1.152439860721027,1.4645517162604853,,0
cline,100,0.01,31,1.0416817934637248,0.011423699642135994,1.0252165646333025,0.011998769374048531,1.4031422077463256,0.08028721851799192,0,1.1549760672114249,1.4645517162604853,,0
cline,100,0.01,32,1.0265352752873786,0.011051483790091014,1.0265564448972722,0.010841400417095588,-0.0018710584618324981,0.5007464438939953,0,1.1463144193421764,1.4645517162604853,,0
cline,100,0.01,33,1.0342596290215547,0.009102288568151023,1.027371803954484,0.009046265359580394,0.7386926728489561,0.23004681801545335,0,1.1467813043138095,1.4645517162604853,,0
cline,100,0.01,34,1.0053269803584846,0.008337693623833537,1.0214186602138982,0.012488063399730354,-1.830080890624379,0.9663810780224009,0,1.150978841920856,1.4645517162604853,,0
cline,100,0.01,35,1.0156371473558785,0.009677839181210715,1.0296452766709963,0.008865750474241577,-1.417999382947589,0.9219045275381068,0,1.1431511439290085,1.4645517162604853,,0
cline,100,0.01,36,1.0248066978809307,0.011635486465947227,1.0238990149141463,0.011177031908341696,0.07627026562474398,0.4696020407565903,0,1.146424088010571,1.4645517162604853,,0
cline,100,0.01,37,1.028388717295593,0.011155403482997558,1.0269623829363024,0.009847351391880489,0.1254400690327201,0.45008758405855265,0,1.1449525708827002,1.4645517162604853,,0
cline,100,0.01,38,1.0013884555590036,0.008484681401964537,1.025873613271979,0.011479937498051991,-2.7621605597179526,0.997128988327429,0,1.1507265139119778,1.4645517162604853,,0
cline,100,0.01,39,1.0075184883156185,0.011532954000144556,1.025792041610164,0.010841078213345843,-1.5505814607684585,0.9394989910838789,0,1.1499035746963975,1.4645517162604853,,0
cline,100,0.01,40,1.0471593187369719,0.011578507482386586,1.0253592670746505,0.014973854234941018,1.8086960570644741,0.03524911794654717,1,1.1534573977686362,1.4645517162604853,,0
cline,100,0.01,41,1.0322888940490906,0.009140576983013453,1.030107982420407,0.010255557668676574,0.23142466821954166,0.4084924513950864,0,1.151921746151818,1.4645517162604853,,0
cline,100,0.01,42,1.0164480467906276,0.012529010575964845,1.0250231691285778,0.013496673764462794,-0.6653900079398966,0.7470994628791077,0,1.1439190941482786,1.4645517162604853,,0
cline,100,0.01,43,1.0314785831879496,0.010856236368057501,1.024043391227485,0.01032968997274524,0.6698833485037912,0.251466077712339,0,1.1478031619855962,1.4645517162604853,,0
cline,100,0.01,44,1.0352140471290276,0.009695295946951373,1.0317868134022175,0.01180714771737489,0.3410745105497146,0.3665237447857912,0,1.1457165708671955,1.4645517162604853,,0
cline,100,0.01,45,1.0175744188187668,0.012461314609783128,1.0249039037160605,0.011397991669445676,-0.576250004026947,0.7177768945817615,0,1.141594956894058,1.4645517162604853,,0
cline,100,0.01,46,1.0579719529850564,0.010024662269845323,1.0221943151064528,0.00981648418882641,3.4863636833493015,0.0002448174271627579,1,1.1483518178204382,1.4645517162604853,,0
cline,100,0.01,47,1.0426665312232766,0.010287445719596494,1.027858994781617,0.010374705872946638,1.4041209318209478,0.08014142075559694,0,1.1457607357749449,1.4645517162604853,,0
cline,100,0.01,48,1.0342723186897351,0.010891681465851516,1.026884912186723,0.00893298966074942,0.6671350361881349,0.25234294119958434,0,1.1484325381457545,1.4645517162604853,,0
cline,100,0.01,49,1.0251619193174317,0.011082028786317021,1.0232433326081831,0.0120494786072146,0.16822534508209455,0.433203001291643,0,1.155261215761384,1.4645517162604853,,0
cline,100,0.015,0,1.0210307150105606,0.009993457703648586,1.022988275404137,0.011323158345125338,-0.1898845440416767,0.5753001979048463,0,1.1558293105608974,1.4645517162604853,,0
cline,100,0.015,1,1.0212716086251046,0.010417420729387108,1.026520179760783,0.011512370010448325,-0.48911419948366347,0.687619575417314,0,1.1478815472331996,1.4645517162604853,,0
cline,100,0.015,2,1.0208824906616312,0.010451002525137228,1.0236153438438857,0.011812953783441405,-0.25351977424703165,0.6000667087351219,0,1.147536977357387,1.4645517162604853,,0
cline,100,0.015,3,1.0319584379573885,0.011010630507272828,1.0207929912711746,0.008872730643616374,0.9979885061967222,0.15914246606383164,0,1.1488674076560825,1.4645517162604853,,0
