model,N,effect,lambda_detect_rate,pca_detect_rate,lambda_median,eig1_median
cline,100,0.005,0.97,0.0,1.0275308387977113,1.2134275902387897
cline,100,0.01,0.94,0.0,1.0256417356231475,1.21203873786017
cline,100,0.015,0.97,0.0,1.0256394683846746,1.2146715110132513
cline,300,0.005,0.71,0.0,1.0083200327419635,1.3945472858593695
cline,300,0.01,0.61,0.0,1.0077226925124405,1.3938353705514808
cline,300,0.015,0.68,0.0,1.0063977532814008,1.3922751644907128
cline,1000,0.005,0.52,0.0,1.000244319227698,1.7783611887196278
cline,1000,0.01,0.5,0.0,1.0001976598406013,1.7804142723435699
cline,1000,0.015,0.5,0.0,0.9999713767036469,1.7797407945755022
