model,N,effect,replicate,lambda_emp,lambda_thr97,lambda_p,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
cline,100,0.005,30,1.0365891789295107,1.0,,1,1.2181598636732445,1.5477320613535541,,0
cline,100,0.005,31,1.0372867878648895,1.0,,1,1.2267600216497057,1.5477320613535541,,0
cline,100,0.005,32,1.0283465551848323,1.0,,1,1.2143947013481724,1.5477320613535541,,0
cline,100,0.005,33,1.0464840072344515,1.0,,1,1.214102833100418,1.5477320613535541,,0
cline,100,0.005,34,1.038393709358236,1.0,,1,1.2219972837490098,1.5477320613535541,,0
cline,100,0.005,35,1.0227953375621452,1.0,,1,1.2109426526732903,1.5477320613535541,,0
cline,100,0.005,36,1.0437874790788888,1.0,,1,1.2088584283124342,1.5477320613535541,,0
cline,100,0.005,37,1.0436572493510177,1.0,,1,1.2137675264359542,1.5477320613535541,,0
cline,100,0.005,38,1.0480791327853907,1.0,,1,1.205832046264284,1.5477320613535541,,0
cline,100,0.005,39,1.0169451817425479,1.0,,1,1.2081771308838742,1.5477320613535541,,0
cline,100,0.005,40,1.02634401163095,1.0,,1,1.2086779560375867,1.5477320613535541,,0
cline,100,0.005,41,1.0505671987839877,1.0,,1,1.2110729226439598,1.5477320613535541,,0
cline,100,0.005,42,1.0067675253452177,1.0,,1,1.2073260675532023,1.5477320613535541,,0
cline,100,0.005,43,1.009056790554193,1.0,,1,1.2152844848711941,1.5477320613535541,,0
cline,100,0.005,44,1.003323645239842,1.0,,1,1.2152202210654532,1.5477320613535541,,0
cline,100,0.005,45,1.0136924439129629,1.0,,1,1.2107149936712478,1.5477320613535541,,0
cline,100,0.005,46,1.0037835500361882,1.0,,1,1.2122079714373561,1.5477320613535541,,0
cline,100,0.005,47,1.0085873292339411,1.0,,1,1.216223128344819,1.5477320613535541,,0
cline,100,0.005,48,1.0292131631495334,1.0,,1,1.2221108571451218,1.5477320613535541,,0
cline,100,0.005,49,0.9919024717420355,1.0,,0,1.2193913808188122,1.5477320613535541,,0
cline,100,0.005,50,1.068094696823276,1.0,,1,1.2130463794647497,1.5477320613535541,,0
cline,100,0.005,51,1.0397533900863984,1.0,,1,1.2049365345422958,1.5477320613535541,,0
cline,100,0.005,52,1.0321442117929627,1.0,,1,1.215690599650256,1.5477320613535541,,0
cline,100,0.005,53,1.0096799716475293,1.0,,1,1.2094042138190315,1.5477320613535541,,0
cline,100,0.005,54,1.0477755056342193,1.0,,1,1.219941732519509,1.5477320613535541,,0
cline,100,0.005,55,1.0412781551788626,1.0,,1,1.192069721157999,1.5477320613535541,,0
cline,100,0.005,56,1.002622723624304,1.0,,1,1.2126846527937354,1.5477320613535541,,0
cline,100,0.005,57,1.049949107473021,1.0,,1,1.2194741726169647,1.5477320613535541,,0
cline,100,0.005,58,1.0262188783083883,1.0,,1,1.2185447644577028,1.5477320613535541,,0
cline,100,0.005,59,1.0302716970573869,1.0,,1,1.2107536372086352,1.5477320613535541,,0
cline,100,0.005,60,1.0439722063240002,1.0,,1,1.2279962542149248,1.5477320613535541,,0
cline,100,0.005,61,1.0431638955016134,1.0,,1,1.2029958313986562,1.5477320613535541,,0
