model,N,effect,lambda_detect_rate,pca_detect_rate,lambda_median,eig1_median
cline,100,0.005,1.0,0.0,1.0214389860355553,1.2158376695590494
cline,100,0.01,1.0,0.0,1.0355532312596305,1.2094942421082755
cline,100,0.015,0.8,0.0,1.010589876728919,1.206877781785631
cline,300,0.005,0.6,0.0,1.000364196747253,1.3967428870154164
cline,300,0.01,0.6,0.0,1.0020786255070482,1.3987809320627802
cline,300,0.015,0.8,0.0,1.0096118954353244,1.3952911098986243
cline,1000,0.005,0.0,0.0,0.9901687419641233,1.7835119579039609
cline,1000,0.01,0.6,0.0,1.003587489112191,1.7738813898799273
cline,1000,0.015,0.6,0.0,1.0048304694205277,1.7833927448435223
