model,N,effect,replicate,lambda_emp,lambda_thr97,lambda_p,detect_lambda,eig1_obs,eig1_thr97,eig1_p,detect_pca
mixture,100,0.002,52,1.0436396024798935,1.0,,1,1.276515860818685,1.5477320613535541,,0
mixture,100,0.002,53,1.0089194780613737,1.0,,1,1.2367177895251495,1.5477320613535541,,0
mixture,100,0.002,54,1.0181399682304433,1.0,,1,1.2460062068678486,1.5477320613535541,,0
mixture,100,0.002,55,0.9960710554693564,1.0,,0,1.2954370244537703,1.5477320613535541,,0
mixture,100,0.002,56,1.0429725892890236,1.0,,1,1.2694749164747743,1.5477320613535541,,0
mixture,100,0.002,57,1.0283076368879789,1.0,,1,1.2688545502315847,1.5477320613535541,,0
mixture,100,0.002,58,1.0155562255794306,1.0,,1,1.2478373890576095,1.5477320613535541,,0
mixture,100,0.002,59,1.0219074125388012,1.0,,1,1.2694223370575088,1.5477320613535541,,0
mixture,100,0.002,60,1.0173528209368465,1.0,,1,1.2573528074346432,1.5477320613535541,,0
mixture,100,0.002,61,1.0386025549614237,1.0,,1,1.235312863842129,1.5477320613535541,,0
mixture,100,0.002,62,0.9904657818421302,1.0,,0,1.2550038676005801,1.5477320613535541,,0
mixture,100,0.002,63,1.0237344289209027,1.0,,1,1.2602285818675065,1.5477320613535541,,0
mixture,100,0.002,64,1.042185418997383,1.0,,1,1.2443274978410415,1.5477320613535541,,0
mixture,100,0.002,65,1.0054452092033377,1.0,,1,1.2451083361972581,1.5477320613535541,,0
mixture,100,0.002,66,1.0426108016342714,1.0,,1,1.2791296265416834,1.5477320613535541,,0
mixture,100,0.002,67,1.036028506112134,1.0,,1,1.2710189406189374,1.5477320613535541,,0
mixture,100,0.002,68,1.026079023418163,1.0,,1,1.2449330075528875,1.5477320613535541,,0
mixture,100,0.002,69,1.0291754519580765,1.0,,1,1.2647263369607793,1.5477320613535541,,0
mixture,100,0.002,70,1.0109927791482964,1.0,,1,1.2705506589094229,1.5477320613535541,,0
mixture,100,0.002,71,1.0604994289292715,1.0,,1,1.2522937008983908,1.5477320613535541,,0
mixture,100,0.002,72,1.0489013267210094,1.0,,1,1.251724590954297,1.5477320613535541,,0
mixture,100,0.002,73,1.042581473880832,1.0,,1,1.2672353958919116,1.5477320613535541,,0
mixture,100,0.002,74,1.0202100501885145,1.0,,1,1.2925150923115893,1.5477320613535541,,0
mixture,100,0.002,75,1.031241490914107,1.0,,1,1.2555537388014715,1.5477320613535541,,0
mixture,100,0.002,76,1.014100064088856,1.0,,1,1.2710341904382876,1.5477320613535541,,0
mixture,100,0.002,77,1.0075341507074116,1.0,,1,1.2683443472436313,1.5477320613535541,,0
mixture,100,0.002,78,1.0120129734198606,1.0,,1,1.2413167942725152,1.5477320613535541,,0
mixture,100,0.002,79,0.9998308053277387,1.0,,0,1.2547116847897137,1.5477320613535541,,0
mixture,100,0.002,80,1.019952936229471,1.0,,1,1.2712936476028418,1.5477320613535541,,0
mixture,100,0.002,81,1.0303747570120743,1.0,,1,1.249052184703754,1.5477320613535541,,0
mixture,100,0.002,82,1.0220062844677478,1.0,,1,1.2520002002587156,1.5477320613535541,,0
mixture,100,0.002,83,1.0383094317435515,1.0,,1,1.2486041080895336,1.5477320613535541,,0
mixture,100,0.002,84,1.0166374615120315,1.0,,1,1.2629071821041846,1.5477320613535541,,0
mixture,100,0.002,85,1.0282105625886209,1.0,,1,1.2588611689950766,1.5477320613535541,,0
mixture,100,0.002,86,1.017212130686965,1.0,,1,1.2606594143003385,1.5477320613535541,,0
mixture,100,0.002,87,1.0411626000648144,1.0,,1,1.2662264449927636,1.5477320613535541,,0
mixture,100,0.002,88,1.0492229888408868,1.0,,1,1.2563489381451634,1.5477320613535541,,0
mixture,100,0.002,89,1.026871016131663,1.0,,1,1.2581169072929568,1.5477320613535541,,0
mixture,100,0.002,90,1.002781607364605,1.0,,1,1.2601867720614939,1.5477320613535541,,0
mixture,100,0.002,91,1.026336517750202,1.0,,1,1.254751901635452,1.5477320613535541,,0
mixture,100,0.002,92,1.0004181036759163,1.0,,1,1.2502709271120946,1.5477320613535541,,0
mixture,100,0.002,93,1.0282053135323994,1.0,,1,1.2824045857195212,1.5477320613535541,,0
mixture,100,0.002,94,1.0052789842265062,1.0,,1,1.2477104777183887,1.5477320613535541,,0
mixture,100,0.002,95,1.0445281756801439,1.0,,1,1.2263655323435487,1.5477320613535541,,0
mixture,100,0.002,96,1.0342149641353637,1.0,,1,1.2532242439186327,1.5477320613535541,,0
mixture,100,0.002,97,1.0352231626985284,1.0,,1,1.2491623074753626,1.5477320613535541,,0
mixture,100,0.002,98,1.0345621132078173,1.0,,1,1.2731597919117992,1.5477320613535541,,0
mixture,100,0.002,99,1.0366673564400661,1.0,,1,1.2597581161266946,1.5477320613535541,,0
mixture,100,0.006,0,1.0386015510375346,1.0,,1,1.5835232243806874,1.5477320613535541,,1
mixture,100,0.006,1,1.039852712295605,1.0,,1,1.6062412540019488,1.5477320613535541,,1
mixture,100,0.006,2,1.0380487983109745,1.0,,1,1.622002160554258,1.5477320613535541,,1
mixture,100,0.006,3,1.0258457912860868,1.0,,1,1.6085313499805207,1.5477320613535541,,1
mixture,100,0.006,4,1.0506683769820464,1.0,,1,1.5873673831174118,1.5477320613535541,,1
mixture,100,0.006,5,1.0523349398009432,1.0,,1,1.638090886233992,1.5477320613535541,,1
mixture,100,0.006,6,1.0196302947385023,1.0,,1,1.6121087050319414,1.5477320613535541,,1
mixture,100,0.006,7,1.0780736530899004,1.0,,1,1.6329287776444308,1.5477320613535541,,1
mixture,100,0.006,8,1.0326776929446977,1.0,,1,1.6125800044062957,1.5477320613535541,,1
mixture,100,0.006,9,1.049128155243995,1.0,,1,1.5902629058604987,1.5477320613535541,,1
mixture,100,0.006,10,1.0328635207612555,1.0,,1,1.6094264059937895,1.5477320613535541,,1
mixture,100,0.006,11,1.0062371556174563,1.0,,1,1.6292856915942675,1.5477320613535541,,1
mixture,100,0.006,12,1.0031072064083955,1.0,,1,1.5822756102604811,1.5477320613535541,,1
mixture,100,0.006,13,1.0404282229842854,1.0,,1,1.6265208255812178,1.5477320613535541,,1
mixture,100,0.006,14,1.010738415384855,1.0,,1,1.5927310866768734,1.5477320613535541,,1
mixture,100,0.006,15,1.0274188241397175,1.0,,1,1.611829096651424,1.5477320613535541,,1
mixture,100,0.006,16,1.0406650446967833,1.0,,1,1.6266359846662386,1.5477320613535541,,1
mixture,100,0.006,17,1.044156029408155,1.0,,1,1.596522878703876,1.5477320613535541,,1
mixture,100,0.006,18,1.0181011314088892,1.0,,1,1.585850921358122,1.5477320613535541,,1
mixture,100,0.006,19,1.0478471580230577,1.0,,1,1.5903095315762745,1.5477320613535541,,1
mixture,100,0.006,20,1.0687899498833313,1.0,,1,1.576984035325618,1.5477320613535541,,1
mixture,100,0.006,21,0.9967988391748223,1.0,,0,1.5984103432174532,1.5477320613535541,,1
mixture,100,0.006,22,1.0037933007545803,1.0,,1,1.61697272821984,1.5477320613535541,,1
mixture,100,0.006,23,1.0444294590025855,1.0,,1,1.6179441845287992,1.5477320613535541,,1
mixture,100,0.006,24,1.0135199176328713,1.0,,1,1.617423668091204,1.5477320613535541,,1
mixture,100,0.006,25,1.013271508031678,1.0,,1,1.5939094853264972,1.5477320613535541,,1
mixture,100,0.006,26,1.041238947874025,1.0,,1,1.6130709889439783,1.5477320613535541,,1
mixture,100,0.006,27,1.0332772738590512,1.0,,1,1.611573347792418,1.5477320613535541,,1
