model,N,effect,lambda_detect_rate,pca_detect_rate,lambda_median,eig1_median
mixture,100,0.002,0.95,0.0,1.0244621348613334,1.2604439980839226
mixture,100,0.006,0.96,1.0,1.032620844694518,1.609184855554145
mixture,100,0.01,0.99,1.0,1.0356114286581168,1.9880262442133176
mixture,300,0.002,0.66,0.96,1.0104753967266455,1.6840366024806346
mixture,300,0.006,0.9,1.0,1.0196230900548748,2.828220862910518
mixture,300,0.01,0.95,1.0,1.0353163116008126,3.9970162655761263
mixture,1000,0.002,0.63,1.0,1.0049972572299113,3.173100555690999
mixture,1000,0.006,1.0,1.0,1.037688847677685,7.091166268171404
mixture,1000,0.01,1.0,1.0,1.100289654402152,11.033241646871438
